"Time","Latitude","Longitude"
"04/09/2016 08:14:44",51.57535,-0.12037
"04/09/2016 08:14:49",51.5753,-0.12058
"04/09/2016 08:14:54",51.57523,-0.12087
"04/09/2016 08:14:59",51.57518,-0.12112
"04/09/2016 08:15:05",51.57511,-0.12141
"04/09/2016 08:15:10",51.57507,-0.12161
"04/09/2016 08:15:15",51.57506,-0.12162
"04/09/2016 08:15:20",51.57505,-0.12169
"04/09/2016 08:15:25",51.5749,-0.12163
"04/09/2016 08:15:30",51.57481,-0.12158
"04/09/2016 08:15:40",51.57477,-0.12156
"04/09/2016 08:15:45",51.57476,-0.12156
"04/09/2016 08:17:15",51.5748,-0.12158
"04/09/2016 08:17:20",51.57483,-0.12159
"04/09/2016 08:20:00",51.57487,-0.12161
"04/09/2016 08:20:06",51.57488,-0.12162
"04/09/2016 08:20:11",51.57496,-0.12164
"04/09/2016 08:20:16",51.57491,-0.12162
"04/09/2016 08:20:21",51.57488,-0.12162
"04/09/2016 08:20:25",51.57486,-0.12161
"04/09/2016 08:21:31",51.57489,-0.12162
"04/09/2016 08:21:36",51.57478,-0.12157
"04/09/2016 08:22:56",51.57482,-0.12158
